character,unicode,mc,pu,ct,kr,vn,jp_go,jp_kan,jp_tou,jp_kwan,jp_other
"一","4E00","qjit","yi1","jat1","il","nhaats","*iti*","*itu*",,,
"丁","4E01","treng,teng","ding1,zheng1","ding1,zaang1(zang1)","jeong","ddinh,cheenh,tranhf","[1]*tyou(tyau)*[2]*tyou(tyau)*","[1]*tei*[2]tou(tau)",,,
"丂","4E02","khaux","kao3,qiao3,yu2",,"gyo","khaor","[1]kou(kau)[2]/kyou(keu)/","[1]kou(kau)[2]kou(kau)",,,
"七","4E03","chit","qi1","cat1","chil","thaats","*siti*","/situ/",,,
"丄","4E04","zjangx,zjangh","shang4",,"sang",,"*zyou(zyau)*","*syou(syau)*",,,
"丅","4E05","ghrax","xia4",,"ha",,"*ge*","*ka*",,,
"丆","4E06",,"han3",,"myeon",,,,,,
"万","4E07","myanh,mok","wan4,mo4","maan6,mak6(maak6)","man","vanj,mawcj","/moku/","boku",,,
"丈","4E08","driangx","zhang4","zoeng6","jang","truwowngj","*zyou(dyau)*","/tyou(tyau)/",,,
"三","4E09","sam,samh","san1","saam1,saam3","sam","tam,tams","*san(samu)*","*san(samu)*",,,
"上","4E0A","zjangx,zjangh","shang4,shang3","soeng6,soeng5","sang","thuwowngj,thuwowngs","*zyou(zyau)*","*syou(syau)*",,,
"下","4E0B","ghrax,ghrah","xia4","haa6,haa5","ha","haj,has","*ge*","*ka*",,,
"丌","4E0C","ki","qi2,ji1","gei1,kei4","gi",,"[1]/ko/[2]/go/,/gi/","[1]ki[2]ki",,,
"不","4E0D","piu,piux,pyot","bu4,fou3","bat1,fau2","bu,bul","baats,phaauf,phur,phi","[1]/hoti/[2]*hu*","[1]/hutu/[2]/huu/",,"[1]*hu*,*bu*",
"与","4E0E","jox","yu3,yu4,yu2","jyu5,jyu4,jyu6","yeo","duwx,duwj,duw","*yo*","*yo*",,,
"丏","4E0F","menx","mian3","min5","myeon","dieenx,cais","men","/ben/",,,
"丐","4E10","kad,kat","gai4","koi3(goi3)","gae","cais","kai","kai",,,
"丑","4E11","thriux","chou3","cau2","chuk,chu","suwur,xus","tyuu(tiu)","tyuu(tiu)",,,
"丒","4E12",,"chou3",,"chuk",,"tyuu(tiu)","tyuu(tiu)",,,
"专","4E13",,"zhuan1",,"jeon,dan","chuyeen",,,,,
"且","4E14","cio,chiax","qie3,ju1","ce2,zeoi1(ceoi2),ceoi1(cou4)","cha,jeo,jo","thar,thuw","[1]sya[2]/so/","[1]sya[2]syo",,,
"丕","4E15","phii","pi1","pei1","bi","phi","hi","hi",,,
"世","4E16","sjed","shi4","sai3","se","thees","*se*","*sei*",,,
"丗","4E17","sjed","shi4",,"se",,"*se*","*sei*",,,
"丘","4E18","khiu","qiu1","jau1","gu","khaau,khieeu","/ku/","*kyuu(kiu)*",,,
"丙","4E19","piengx","bing3","bing2","byeong","binhs","/hyou(hyau)/","*hei*",,,
"业","4E1A",,"ye4",,"eop,buk,bae","nghieepj",,,,,
"丛","4E1B",,"cong2",,"chong","tungf",,,,,
"东","4E1C",,"dong1",,"dong","ddoong",,,,,
"丝","4E1D",,"si1",,"sa,myeok","ti",,,,,
"丞","4E1E","zjing,zjingh","cheng2","sing4,cing2","seung,jeung","thuwaf,chuwng","zyou","/syou/",,,
"丟","4E1F",,"diu1","diu1","ju","ddaau",,,,,"tyuu(tiu)"
"丠","4E20","khiu","qiu1",,"gu",,,,,,
"両","4E21",,"liang3",,"ryang(yang)","langj","*ryou(ryau)*","*ryou(ryau)*",,,
"丢","4E22",,"diu1",,"ju","ddaau",,,,,
"丣","4E23","jux","you3",,"yu,myo","daauj","/yu/","yuu(iu)",,,
"两","4E24",,"liang3",,"ryang(yang),nyang(yang)","luwowngx,langj","*ryou(ryau)*","*ryou(ryau)*",,,
"严","4E25",,"yan2",,"eom","nghieem",,,,,
"並","4E26","bengx","bing4","bing6(bing3)","byeong","tinhj","/byou(byau)/","*hei*",,,
"丧","4E27",,"sang1,sang4",,"sang","tang,tangs",,,,,
"丨","4E28","kuonx","gun3",,"gon","coonr","kon","kon",,,
"丩","4E29","kiu","jiu1",,"gu",,"/ku/","kyuu(kiu)",,,
"个","4E2A","kah","ge4,ge3",,"gae","cas","ka","ka","/ko/",,
"丫","4E2B","qra","ya1","aa1(ngaa1)","a","nha","/e/","a",,,
"丬","4E2C",,"pan2",,"jang,sang",,"/zyou(zyau)/","/sou(sau)/",,"syou(syau)",
"中","4E2D","triung,triungh","zhong1,zhong4","zung1,zung3","jung","trung,trungs","*tyuu(tiu)*","*tyuu(tiu)*",,"*zyuu(diu)*",
"丮","4E2E","kiek","ji3","gik1","geuk",,"/kyaku/","keki",,,
"丯","4E2F","kraih","jie4",,"gae,bong,pung","phong","/ke/","kai",,,
"丰","4E30","phyung","feng1","fung1","bong,pung","phong","huu,/hu/","/hou/",,"/bou/",
"丱","4E31","kruanh","guan4,kuang4","gwaan3","gwan,gwang","quans","/ken(kwen)/","kan(kwan)",,,
"串","4E32","kruanh,chjyenh","chuan4","cyun3,gwaan3","gwan,cheon,chan","xuyeens,quans","[1]/ken(kwen)/[2]sen","[1]kan(kwan)[2]sen",,,
"丳","4E33","chrenx","chan3","caan2","chan,gwan,cheon",,,,,,
"临","4E34",,"lin2",,"rim(im)","laam,laams",,,,,
"丵","4E35","zruk","zhuo2",,"chak",,"/zaku/","saku",,,
"丶","4E36","tryox","zhu3",,"ju","chur","tyuu","tyuu",,"/tyu/",
"丷","4E37",,"ba1",,"ha",,,,,,
"丸","4E38","ghuan","wan2","jyun4,jyun2","hwan","hoanf","*gan(gwan)*","/kan(kwan)/",,,
"丹","4E39","tan","dan1","daan1","dan,ran(nan)","ddan","*tan*","*tan*",,,
"为","4E3A",,"wei2,wei4",,"wi","vi,vij",,,,,
"主","4E3B","cjyox","zhu3","zyu2","ju","chur","*su*","*syu*",,,
"丼","4E3C","tomx","jing3","dam2,zing2","jeong",,"/syou(syau)/","sei",,,
"丽","4E3D","leh","li4,li2",,"ryeo(yeo)","leej,li",,,,,
"举","4E3E",,"ju3",,"geo,yeo","cuwr",,,,,
"丿","4E3F","jed,phet","pie3",,"byeol","phieetj,trieetj","/heti/","hetu",,,
"乀","4E40","phyot","fu2",,"bul","phaatj","/hoti/","hutu",,,
"乁","4E41",,"yi2,ji2",,"i",,"[1]i[2]/gou(gohu)/","[1]i[2]kyuu(kihu)",,,
"乂","4E42","ngiad","yi4","ngaai6","ye,ae","ngheej","/ge/","gai",,,
"乃","4E43","naix","nai3","naai5,oi2","nae,ae","naix,ais","/nai/,/no/","dai",,,
"乄","4E44",,"wu3",,"o",,"/nai/,/no/","dai",,,
"久","4E45","kiux","jiu3","gau2","gu","cuwur","*ku*","*kyuu(kiu)*",,,
"乆","4E46",,"jiu3",,"gu","cuwur",,,,,
"乇","4E47","thak,trak","tuo1,zhe2","tok3,zaak6","tak",,"[1]/tyaku/[2]taku","[1]taku[2]taku",,,
"么","4E48",,"mo2,ma,me,yao1","jiu1,mo1,maa1","yo,ma","yeeu,ma",,,,,"[1]you(eu)[2]ba,/ma/,/mo/"
"义","4E49",,"yi4",,"ui,cha","nghiax",,,,,
"乊","4E4A",,"yi1",,"ho",,,,,,
"之","4E4B","cji","zhi1","zi1","ji","chi","si","si",,,
"乌","4E4C",,"wu1",,"o,a","oo",,,,,
"乍","4E4D","zrah","zha4","zaa3(zaa6)","sa,jak","saj,tacs","/zya/","sa",,,
"乎","4E4E","gho","hu1","fu4(wu4),fu1","ho","hoof,hoo","/o(wo)/,/go/","ko",,,
"乏","4E4F","byap","fa2","fat6","pip","phapj","*bou(bohu)*","/hou(hahu)/",,,
"乐","4E50",,"le4,yue4,yao4,lao4",,"ak,rak(nak),yo","nhacj,lacj,nhaoj",,,,,
"乑","4E51","ngim","yin2",,"eum,ban,jung",,"[1]/gon(gomu)/[2]/hen/[3]/syu/","[1]gin(gimu)[2]han[3]syuu",,,
"乒","4E52",,"ping1","ping1(bing1)","byeong,ping","binh",,,,,
"乓","4E53",,"pang1","pong1(bam1)","byeong,pang","bangf",,,,,
"乔","4E54",,"qiao2",,"gyo","kieeuf",,,,,
"乕","4E55",,"hu3",,"ho",,"/ku/","*ko*",,,
"乖","4E56","kruai","guai1","gwaai1","goe","quai","/ke(kwe)/","kai(kwai)",,,
"乗","4E57","zsjing,zsjingh","cheng2,sheng4",,"seung",,"*zyou*","/syou/",,,
"乘","4E58","zsjing,zsjingh","cheng2,sheng4","sing4,sing6","seung","thuwaf,thawngj","*zyou*","/syou/",,,
"乙","4E59","qit","yi3","jyut3(jyut6)","eul","aats","*otu*,/oti/","/itu/",,,
"乚","4E5A","qionx","hao2,yi3",,"eun",,"[1]/otu/,/oti/[2]/gou(gau)/","[1]itu[2]kou(kau)",,,
"乛","4E5B",,"yi3",,"ya",,,,,,
"乜","4E5C","miax","mie1,nie4","me1(me2,me5),mat1,ne6","mya",,"/me/","ba",,,
"九","4E5D","kiux","jiu3","gau2","gu,gyu","cuwur,cuwu","*ku*","*kyuu(kiu)*",,,
"乞","4E5E","khiot","qi3","hat1,hei3","geol,gi","khaats,khis","/kotu/,/koti/","kitu",,,
"也","4E5F","jax","ye3","jaa5","ya,i","dax","ya","ya",,,
"习","4E60",,"xi2",,"seup","taapj",,,,,
"乡","4E61",,"xiang1",,"hyang","huwowng",,,,,
"乢","4E62",,"gai4",,"gae",,,,,,"kai"
"乣","4E63",,"jiu3",,"gyu",,,,,,"kyuu(kiu)"
"乤","4E64",,"xia4",,"hal",,,,,,
"乥","4E65",,,,"hol",,,,,,
"书","4E66",,"shu1",,"seo","thuw",,,,,
"乧","4E67",,"dou3",,"dul",,,,,,
"乨","4E68",,"shi3",,"si,chi,ran(nan)",,"*si*","*si*",,,
"乩","4E69","ke","ji1","gei1","gye","kee","/ke/","kei",,,
"乪","4E6A",,"nang2",,"nang",,,,,,
"乫","4E6B",,"jia1",,"gal",,,,,,
"乬","4E6C",,"ju4",,"geol",,,,,,
"乭","4E6D",,"shi2",,"dol",,,,,,
"乮","4E6E",,"mao3",,"myol",,,,,,
"乯","4E6F",,"hu1",,"ol",,,,,,
"买","4E70",,"mai3",,"mae","maix",,,,,
"乱","4E71",,"luan4",,"ran(nan)","loanj","*ran*","*ran*","/ron/",,
"乲","4E72",,,,"chal",,,,,,
"乳","4E73","njyox","ru3","jyu5","yu","nhux","*nyuu*","/zyu/",,,
"乴","4E74",,"xue2",,"seol",,"/zeti/","setu",,,
"乵","4E75",,"yan3",,"yeom",,,,,,"en"
"乶","4E76",,"fu3",,"bol,pol",,,,,,
"乷","4E77",,"sha1",,"sal",,,,,,
"乸","4E78",,"na3",,"na",,,,,,
"乹","4E79",,"qian2",,"geon",,"[1]*kan*[2]/gen/","[1]*kan*[2]ken",,,
"乺","4E7A",,"suo3",,"sol",,,,,,
"乻","4E7B",,"yu2",,"eol,neul",,,,,,
"乼","4E7C",,"zhu4",,"jul",,,,,,
"乽","4E7D",,"zhe3",,"jal",,,,,,
"乾","4E7E","kan,gien","qian2,gan1","gon1,kin4","geon,gan","can,kieenf,canf","[1]*kan*[2]/gen/","[1]*kan*[2]ken",,,
"乿","4E7F",,"zhi4,luan4","zi6","chi,i",,"*zi(di)*","*ti*",,,
"亀","4E80",,"gui1",,"gu,gwi,gyun",,"[1]*ki*[2]/ku/[3]/kon/","[1]*ki*[2]kyuu(kiu)[3]kin",,,
"亁","4E81",,"qian2",,"geon",,,,,,
"亂","4E82","luanh","luan4","lyun6","ran(nan)","loanj","*ran*","*ran*","/ron/",,
"亃","4E83",,"lin3,lin4","leon6","rin(in)",,,,,,
"亄","4E84","qiih,qit","yi4","ji3","ui",,,,,,
"亅","4E85","gyat","jue2",,"gwol","quyeets","/goti/","ketu",,,
"了","4E86","leux","liao3,le","liu5(laa1,liu4)","ryo(yo)","lieeux","*ryou(reu)*","*ryou(reu)*",,,
"亇","4E87",,"ge4,ma1",,"ma",,,,,,
"予","4E88","jo,jox","yu2,yu3","jyu5,jyu4","yeo,ye","duwx,duw","*yo*","*yo*",,,
"争","4E89",,"zheng1",,"jaeng","tranh,tranhs","/syou(syau)/","*sou(sau)*",,,
"亊","4E8A",,"shi4",,"sa",,"*zi*","/si/",,"*zu*",
"事","4E8B","crih,zrih","shi4","si6","sa","suwj","*zi*","/si/",,"*zu*",
"二","4E8C","njiih","er4","ji6","i","nhij","*ni*","/zi/",,,
"亍","4E8D","tryoh,thryuk","chu4","cuk1","chok,ma","xucs","tyoku","tyoku",,,
"于","4E8E","yo","yu2","jyu4(jyu1)","u,hyu","vu,hu,uw","u","u",,,
"亏","4E8F",,"kui1",,"u,hyu","khuy",,,,,
"亐","4E90",,"yu2",,"ul,u",,,,,,
"云","4E91","yon","yun2","wan4","un","vaan","un","un",,,
"互","4E92","ghoh","hu4","wu6","ho","hoox","*go*","/ko/",,,
"亓","4E93","gi","qi2","kei4","gi",,,,,,
"五","4E94","ngox","wu3","ng5","o","ngux","*go*","*go*",,,
"井","4E95","ciengx","jing3","zing2(zeng2)","jeong","tinhr","*syou(syau)*","*sei*",,,
"亖","4E96","siih","si4",,"sa",,"*si*","*si*",,,
"亗","4E97",,"sui4",,"se",,"*sai*","*sei*",,,
"亘","4E98","kongh","gen4",,"geung,seon","tuyeen,hoanf","[1]sen[2]kou","[1]sen[2]kou",,,
"亙","4E99","kongh","gen4","gang2","geung,seon","cawngs","kou","kou",,,
"亚","4E9A",,"ya4",,"a,ap","as",,,,,
"些","4E9B","sia,seh,sah","xie1,suo4","se1,so3(sai3,so1)","sa","ta,tas","sa","/sya/",,,
"亜","4E9C",,"ya4",,"a,ap","as","/e/","*a*",,,
"亝","4E9D",,"qi2,zhai1",,"je,jae,ja",,"[1]/zai/[2]/se/[3]si","[1]*sei*[2]sai[3]si",,,
"亞","4E9E","qrah","ya1,ya4","aa3(ngaa3)","a,ap","as","/e/","*a*",,,
"亟","4E9F","khih,kik","ji2,qi4","kei3,gik1","geuk,gi","cuwcs,khis","[1]/koku/[2]/ko/","[1]kyoku[2]ki",,,
"亠","4EA0","du","tou2",,"du","ddaauf",,,,,"tou"
"亡","4EA1","myang","wang2,wu2","mong4,mou4,mong1","mang,mu","vong,voo","[1]*mou(mau)*[2]/mu/","[1]*bou(bau)*[2]bu",,,
"亢","4EA2","kang,khangh","kang4","kong3,gong1","hang","khangs,cang,cuwowng","kou(kau)","kou(kau)",,,
"亣","4EA3",,"da4",,"dae",,,,,,
"交","4EA4","krau","jiao1","gaau1","gyo","giao","/kyou(keu)/","*kou(kau)*",,,
"亥","4EA5","ghaix","hai4","hoi6","hae","howij","gai","/kai/",,,
"亦","4EA6","jek","yi4","jik6","yeok,aek","dieecj","/yaku/","eki",,,
"产","4EA7",,"chan3",,"san","sanr",,,,,
"亨","4EA8","hrang,phrang,hiangx","heng1,peng1","hang1,paang1,hoeng2","hyeong,hyang,paeng","hanh,huwowngr,phanh","[1]/kyou(kyau)/[2]/kou(kau)/[3]/hyou(hyau)/","[1]kou(kau)[2]kyou(kyau)[3]hou(hau)",,,
"亩","4EA9",,"mu3",,"mu,myo","maaux",,,,,
"亪","4EAA",,,,"ran(nan),yeok",,,,,,
"享","4EAB","hiangx","xiang3","hoeng2","hyang,paeng","huwowngr","/kou(kau)/","*kyou(kyau)*",,,
"京","4EAC","kieng","jing1","ging1,jyun4","gyeong","kinh,nguyeen","*kyou(kyau)*","*kei*","/kin/",,
"亭","4EAD","deng","ting2","ting4","jeong","ddinhf","/zyou(dyau)/","*tei*","/tin/",,
"亮","4EAE","liangh","liang4","loeng6","ryang(yang)","luwowngj","/rou(rau)/","ryou(ryau)",,,
"亯","4EAF","hiangx","xiang3",,"hyang,hyeong,paeng","hanh","/kou(kau)/","*kyou(kyau)*",,,
"亰","4EB0",,"jing1",,"gyeong",,"*kyou(kyau)*","*kei*","/kin/",,
"亱","4EB1",,"ye4",,"ya,aek",,,,,,
"亲","4EB2",,"qin1,qing4",,"chin","thaan,thaans",,,,,
"亳","4EB3","bak","bo2","bok3(bok6)","bak","bacj","/baku/","haku",,,
"亴","4EB4",,"you4",,"u",,,,,,
"亵","4EB5",,"xie4",,"seol","tieets",,,,,
"亶","4EB6","tanx","dan3,dan4","taan2,sin6,sin4,daan6","dan,jeon,seon","ddanr","[1]tan[2]/zen/","[1]tan[2]sen",,,
"亷","4EB7",,"lian2",,"ryeom(yeom)",,,,,,
"亸","4EB8",,"duo3",,"ta","ddar",,,,,
"亹","4EB9","muon,myoix","wei3,men2","mei5,mun4","mi,mun","vir,meen,moon","[1]/mi/[2]mon","[1]bi[2]/bon/",,,
"人","4EBA","njin","ren2","jan4","in","nhaan","*nin*","*zin*",,,
"亻","4EBB",,"ren2",,"in","nhaan","*nin*","*zin*",,,
"亼","4EBC","zip","ji2",,"jip",,"/zyuu(zihu)/","syuu(sihu)",,,
"亽","4EBD",,"ji2",,"ra(na)",,,,,,
"亾","4EBE","myang","wang2",,"mang,mu",,,,,,
"亿","4EBF",,"yi4",,"eok","uwcs",,,,,
"什","4EC0","zjip","shi2,shen2","sap6(zaap6),sam6","sip,jip","thaapj,thaamj","zyuu(zihu)","/syuu(sihu)/",,,
"仁","4EC1","njin","ren2","jan4","in","nhaan","*ni*,/nin/","*zin*",,,
"仂","4EC2","lik,lok","le4","lak6(lik6)","reuk(neuk),ryeok(yeok)",,"roku","roku",,,
"仃","4EC3","teng","ding1","ding1","jeong","ddinh","/tyou(tyau)/","tei",,,
"仄","4EC4","crik","ze4","zak1","cheuk","trawcs","/siki/","soku",,,
"仅","4EC5",,"jin3,jin4",,"bu,geun,ui","caanj",,,,,
"仆","4EC6","phyoh,phiuh,phuh,bok","pu1,pu2","fu6(puk1),buk6","bu,bok","phos,boocj","[1]boku[2]hu","[1]/hoku/[2]hu",,,
"仇","4EC7","giu","chou2,qiu2","sau4(cau4),kau4","gu","cuwuf","/gu/","kyuu(kiu)",,,
"仈","4EC8",,"ba1","baat3","pal",,,,,,"hatu,/hati/"
"仉","4EC9","cjangx","zhang3","zoeng2","jang","chuwowngr",,,,,
"今","4ECA","kim","jin1","gam1","geum","kim","*kon(komu)*","*kin(kimu)*",,,
"介","4ECB","kraih","jie4","gaai3,gaa3","gae","giowis","/ke/","*kai*",,,
"仌","4ECC","ping","bing1",,"bing,eung","bawng",,,,,
"仍","4ECD","njing","reng2","jing4","ing","nhuwng","/nyou/","zyou",,,
"从","4ECE","zyung","cong2,zong4",,"jong","tongf,tungj,thung,tungs,tung,tungf","[1]*zyuu*,*zyu*[2]syu[3]/syu/","[1]*syou*[2]*syou*[3]*syou*",,"[2]*zyuu*",
"仏","4ECF",,"fo2",,"bul,bal,pil","phaatj","[1]*butu*,/buti/[2]/hoti/","[1]/hutu/[2]hutu",,,
"仐","4ED0",,"jin1,san3",,"san,geum",,,,,,"[1]kin[2]san"
"仑","4ED1",,"lun2",,"ryun(yun)","loon",,,,,
"仒","4ED2",,"bing1",,"eo",,,,,,
"仓","4ED3",,"cang1",,"chang","thuwowng,thangr",,,,,
"仔","4ED4","ci,cix","zi1,zi3,zai3","zi2,zai2,zi1","ja","tuwr,teer","si","si",,,
"仕","4ED5","zrix","shi4","si6","sa","six","*zi*","*si*",,,
"他","4ED6","tha","ta1","taa1(to1)","ta","tha","*ta*","*ta*",,,
"仗","4ED7","driangx,driangh","zhang4","zoeng6,zoeng3","jang","truwowngj","zyou(dyau)","/tyou(tyau)/",,,
"付","4ED8","pyoh","fu4","fu6","bu","phos","*hu*","*hu*",,,
"仙","4ED9","sien","xian1","sin1","seon","tieen","*sen*","*sen*",,,
"仚","4EDA",,"xian1","hin1","heon,seon",,"ken","ken",,,
"仛","4EDB","dak","tuo1,cha4,duo2",,"tak,ta,cha",,"[1]taku[2]ta","[1]taku[2]ta",,,
"仜","4EDC","ghung","hong2","hung4","hong",,,,,,
"仝","4EDD","dung,zyen","tong2","tung4","dong","ddoongf","/zuu(duu)/","/tou/",,"dou",
"仞","4EDE","njinh","ren4","jan6","in","nhaanj","/nin/","zin",,,
"仟","4EDF","chen","qian1","cin1","cheon","thieen","sen","sen",,,
"仠","4EE0","kanx","gan3,han4",,"han,gan",,"[1]kan[2]/gan/","[1]kan[2]kan",,,
"仡","4EE1","hiot,ngiot","yi4,ge1","ngat6(hat1),go1(gat1)","heul,ol","ngaatj","[1]/koti/[2]/goti/","[1]kitu[2]gitu",,,
"仢","4EE2","zjak","bo2",,"jak,bak",,"/baku/","haku",,,
"代","4EE3","daih","dai4","doi6","dae","ddaij","*dai*","*tai*",,,
"令","4EE4","lien,lieng,leng,liengh,lengh","ling2,ling3,ling4","ling6,ling4,ling1(lim1,ling5)","ryeong(yeong)","leenhj,linh","/ryou(ryau)/","*rei*",,,
"以","4EE5","jix","yi3","ji5","i","dix","*i*","*i*",,,
"仦","4EE6",,"chao4",,"cho",,,,,,
"仧","4EE7",,"chang2,zhang3",,"jang",,,,,,
"仨","4EE8",,"sa1","saam1","sam",,,,,,"sa"
"仩","4EE9",,"chang2","coeng4","sang",,,,,,
"仪","4EEA",,"yi2",,"ui","nghi",,,,,
"仫","4EEB",,"mu4",,"mu",,,,,,"mu"
"们","4EEC",,"men2",,"mun","moon",,,,,
"仭","4EED",,"ren4",,"in",,"/nin/","zin",,,
"仮","4EEE",,"fan3",,"ga,ban",,"*ke*","*ka*",,,
"仯","4EEF","chraux,chrauh","chao4,miao3",,"cho,myo",,"[1]/syou(seu)/[2]/myou(meu)/","[1]sou(sau)[2]byou(beu)",,,
"仰","4EF0","ngiangx,ngiangh","yang3,ang2","joeng5(ngong5)","ang","nguwowngx","/gou(gau)/","*gyou(gyau)*",,"*kou(kau)*",
"仱","4EF1",,"qian2","ging1,kim4","geom,geum",,"/gon(gomu)/","kin(kimu)",,,
"仲","4EF2","driungh","zhong4","zung6","jung","trongj","/zyuu(dyuu)/","*tyuu*",,,
"仳","4EF3","bjii,phjex,biix","pi3,pi2","pei2","bi","tir","[1]hi[2]/bi/","[1]hi[2]hi",,,
"仴","4EF4",,"wo4","jyut6","wol",,,,,,
"仵","4EF5","ngox","wu3","ng5","o","ngoox","go","go",,,
"件","4EF6","gienx","jian4","gin6","geon","kieenj","/gen/","*ken*",,,
"价","4EF7","kraih","jia4,jie4,jie","gaai3,gaa3","gae,ga","giowis,gias","/ke/","kai",,,
"仸","4EF8","qieux","yao3,fo2",,"yo",,,,,,
"仹","4EF9","phyung","feng1",,"bong,pung",,,,,,
"仺","4EFA",,"cang1",,"chang",,,,,,
"任","4EFB","njim,njimh","ren4,ren2","jam6,jam4","im","nhaamj,nhaam,nhieemj","*nin(nimu)*","/zin(zimu)/",,,
"仼","4EFC",,"wang2",,"wang",,,,,,
"份","4EFD","pin,byonh","fen4,bin1","fan6,ban1","bin,bun","phaanf,baan","[1]hin[2]hun","[1]hin[2]hun",,,
"仾","4EFE",,"di1",,"jeo",,"/tai/","*tei*",,,
"仿","4EFF","phyangx","fang3","fong2,pong4","bang","phangr,phongr","[1]hou(hau)[2]/bou(bau)/","[1]hou(hau)[2]hou(hau)",,,
"伀","4F00","cjyung","zhong1","zung1","jong",,"/syu/","syou",,,
"企","4F01","khjex,khjeh","qi3","kei5(kei2)","gi","xis","*ki*","*ki*",,,
"伂","4F02","pad","pei4","pui3","pae",,"hai","hai",,,
"伃","4F03","jo","yu2",,"yeo","duw","yo","yo",,,
"伄","4F04","teux,teuh","diao4","diu3","jo",,,,,,
"伅","4F05",,"dun4","deon6","don",,,,,,
"伆","4F06","myonx,myot","wen3",,"mun",,,,,,
"伇","4F07",,"yi4",,"yeok",,,,,,
"伈","4F08","simx","xin3","sam2","sim",,"sin(simu)","sin(simu)",,,
"伉","4F09","khangh","kang4","kong3","hang","khangs","kou(kau)","kou(kau)",,,
"伊","4F0A","qjii","yi1","ji1","i","y","i","i",,,
"伋","4F0B","kip","ji2","kap1(gap1)","geup,pa","caaps","/kou(kohu)/","kyuu(kihu)",,,
"伌","4F0C",,"ai4",,"ae",,"/e/","ai",,,
"伍","4F0D","ngox","wu3","ng5","o","ngux","go","go",,,
"伎","4F0E","gje,giex,cjeh","ji4,qi2","gei6,kei4","gi","kix","gi","*ki*",,,
"伏","4F0F","biuh,biuk","fu2","fuk6(buk6)","bok,bu","phucj,phu","/buku/","*huku*",,,
"伐","4F10","byat","fa2","fat6","beol","phatj","/boti/","/hatu/",,"*batu*",
"休","4F11","hiu","xiu1,xu3","jau1,nau2,jyu3(heoi2)","hyu,hu","huwu","/ku/","*kyuu(kiu)*",,,
"伒","4F12",,"jin4,yin2","gan3","geun",,"/kon/","kin",,,
"伓","4F13",,"pi1","pei1","bae",,,,,,
"伔","4F14",,"dan3","daam6","chim",,,,,,
"伕","4F15",,"fu1","fu1","bu","phu",,,,,"hu"
"伖","4F16",,"tang3",,"no,tang",,"[1]/nu/[2]tou(tau)","[1]do[2]tou(tau)",,,
"众","4F17",,"zhong4",,"jung","chungs","[1]/gon(gomu)/","[1]gin(gimu)",,,"[2]syuu"
"优","4F18",,"you1","jau1","u","uwu",,,,,
"伙","4F19",,"huo3","fo2","hwa,gwa","hoar",,,,,"ka(kwa)"
"会","4F1A",,"hui4,kuai4",,"hoe","hooij,coois","[1]*e(we)*[2]/ke(kwe)/","[1]*kai(kwai)*[2]*kai(kwai)*",,,
"伛","4F1B",,"yu3",,"gu","ur",,,,,
"伜","4F1C",,"cui4",,"swi,jol",,"[1]sai[2]/soti/","[1]sai[2]sotu",,,
"伝","4F1D",,"yun2","wan4","jeon",,"*den*","/ten/",,,
"伞","4F1E",,"san3",,"san","tans,tanr",,,,,
"伟","4F1F",,"wei3",,"wi","vix",,,,,
"传","4F20",,"chuan2,zhuan4",,"jeon","truyeenj,truyeenf,truyeens",,,,,
"伡","4F21",,"che1,ju1",,"geo",,,,,,
"伢","4F22",,"ya2","ngaa4","a",,,,,,
"伣","4F23",,"qian4",,"hyeon",,,,,,
"伤","4F24",,"shang1",,"sang","thuwowng",,,,,
"伥","4F25",,"chang1",,"chang","tranhf",,,,,
"伦","4F26",,"lun2",,"ryun(yun)","luaan",,,,,
"伧","4F27",,"cang1,chen",,"chang","sanh",,,,,
"伨","4F28",,"xun4",,"sun",,,,,,
"伩","4F29",,"xin4",,"sin,yu",,,,,,
"伪","4F2A",,"wei3",,"wi,wa","nguyj",,,,,
"伫","4F2B",,"zhu4",,"jeo","truwx",,,,,
"伬","4F2C",,"chi3","ce2","taek,cheok",,,,,,
"伭","4F2D","ghen","xian2,xuan2","jyun4","hyeon",,,,,,
"伮","4F2E",,"nu2,nu3",,"no",,"/nu/","do",,,
"伯","4F2F","prak","bo2,bai3,ba4","baak3,baa3","baek,pae,maek","bas,bachs","[1]/hyaku/[2]/he/","[1]*haku*[2]ha",,,
"估","4F30","kox","gu1,gu4","gu2,gu3","go","coor","/ku/","ko",,,
"伱","4F31","nrix","ni3",,"ni(i)","neex","/ni/","zi(di)",,,
"伲","4F32",,"ni3,ni4",,"tak,ni(i)",,,,,,
"伳","4F33",,"xie4","sit3","seol",,"/seti/","setu",,,
"伴","4F34","buanx,buanh","ban4","bun6(pun5)","ban","banj","*ban*","*han*",,,
"伵","4F35",,"xu4",,"hyeok",,"/koku/","kyoku(kwyoku)",,,
"伶","4F36","leng","ling2","ling4","ryeong(yeong)","linh","/ryou(ryau)/","rei",,,
"伷","4F37","driuh","zhou4",,"ju",,"/zyuu(diu)/","tyuu(tiu)",,,
"伸","4F38","sjin","shen1","san1","sin","thaan","*sin*","*sin*",,,
"伹","4F39","chio,zox","qu1",,"jeo,dan",,"/so/","syo",,,
"伺","4F3A","si,sih","si4,ci4","zi6(si6)","sa","tis,tuws","*si*","*si*",,,
"伻","4F3B","phreng","beng1","ping1(paang1)","paeng","binhf","/hyou(hyau)/","hou(hau)",,,
